date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:27	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202024%2017:40:28%20GMT	https://educationinclusivity.org/robots.txt		(from )
20:40:27	123541/123541	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2009:40:00%20GMT	https://educationinclusivity.org/	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/index.html	(from )
20:40:28	1712/1712	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202024%2020:16:22%20GMT	https://educationinclusivity.org/comments/feed/index.html	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/comments/feed/index.html	(from https://educationinclusivity.org/)
20:40:28	327246/327246	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202024%2020:16:22%20GMT	https://educationinclusivity.org/feed/index.html	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/feed/index.html	(from https://educationinclusivity.org/)
20:40:28	15194/15194	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Mar%202024%2011:40:30%20GMT	https://educationinclusivity.org/wp-content/uploads/blocksy/css/global885f.css?ver=98031	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/uploads/blocksy/css/global885f885f.css	(from https://educationinclusivity.org/)
20:40:29	385/385	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Dec%202023%2019:46:10%20GMT	https://educationinclusivity.org/wp-content/plugins/embed-pdf-viewer/css/embed-pdf-viewerb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/plugins/embed-pdf-viewer/css/embed-pdf-viewerb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:29	87331/87331	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2006:42:52%20GMT	https://educationinclusivity.org/wp-content/plugins/elementor/assets/css/frontend-lite.mina3be.css?ver=3.11.5	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/plugins/elementor/assets/css/frontend-lite.mina3bea3be.css	(from https://educationinclusivity.org/)
20:40:29	8116/8116	---M-Z	200	added ('OK')	text/css	date:Fri,%2023%20Aug%202024%2013:37:50%20GMT	https://educationinclusivity.org/wp-content/uploads/elementor/css/post-1826a5b.css?ver=1705224823	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/uploads/elementor/css/post-1826a5b6a5b.css	(from https://educationinclusivity.org/)
20:40:29	112419/112419	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Jul%202024%2000:37:18%20GMT	https://educationinclusivity.org/wp-includes/css/dist/block-library/style.minb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-includes/css/dist/block-library/style.minb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:29	85661/85661	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2000:36:00%20GMT	https://educationinclusivity.org/wp-includes/css/dist/components/style.minb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-includes/css/dist/components/style.minb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:30	1980/1980	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2000:36:00%20GMT	https://educationinclusivity.org/wp-includes/css/dist/preferences/style.minb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-includes/css/dist/preferences/style.minb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:30	115744/115744	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2000:36:00%20GMT	https://educationinclusivity.org/wp-includes/css/dist/block-editor/style.minb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-includes/css/dist/block-editor/style.minb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:30	542/542	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2000:36:00%20GMT	https://educationinclusivity.org/wp-includes/css/dist/reusable-blocks/style.minb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-includes/css/dist/reusable-blocks/style.minb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:31	1773/1773	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2000:36:00%20GMT	https://educationinclusivity.org/wp-includes/css/dist/patterns/style.minb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-includes/css/dist/patterns/style.minb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:31	59320/59320	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2000:36:00%20GMT	https://educationinclusivity.org/wp-includes/css/dist/editor/style.minb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-includes/css/dist/editor/style.minb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:31	191/191	---M--	200	added ('OK')	text/css	date:Thu,%2021%20Dec%202023%2019:34:30%20GMT	https://educationinclusivity.org/wp-content/plugins/algori-pdf-viewer/dist/blocks.style.build.css	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/plugins/algori-pdf-viewer/dist/blocks.style.build.css	(from https://educationinclusivity.org/)
20:40:31	30322/30322	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202023%2008:38:56%20GMT	https://educationinclusivity.org/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build8ba2.css?ver=1690447136	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build8ba28ba2.css	(from https://educationinclusivity.org/)
20:40:32	38235/38235	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202023%2008:38:56%20GMT	https://educationinclusivity.org/wp-content/plugins/embedpress/assets/css/embedpressb6a4.css?ver=6.6.1	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/plugins/embedpress/assets/css/embedpressb6a4b6a4.css	(from https://educationinclusivity.org/)
20:40:32	124841/124841	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Dec%202023%2019:38:34%20GMT	https://educationinclusivity.org/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons459e.css?ver=3.0.4	C:/Users/HP/OneDrive/Desktop/Tutorials/MBUGUA/educationinclusivity.org/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons459e459e.css	(from https://educationinclusivity.org/)
